,ENSG00000230107,ENSG00000243811,ENSG00000100336,ENSG00000131100,ENSG00000100290,ENSG00000133466,ENSG00000188511,ENSG00000100147,ENSG00000093010,ENSG00000244752,ENSG00000100368,ENSG00000100243,ENSG00000100197,ENSG00000167065,ENSG00000100376,ENSG00000100116,ENSG00000069998,ENSG00000167077,ENSG00000243156,ENSG00000198951,ENSG00000184983,ENSG00000184117,ENSG00000226328,ENSG00000100266,ENSG00000130943,ENSG00000100417,ENSG00000128408,ENSG00000189306,ENSG00000198832,ENSG00000099956,ENSG00000077935,ENSG00000183172,ENSG00000099940,ENSG00000100321,ENSG00000167074,ENSG00000159958,ENSG00000170638,ENSG00000100300,ENSG00000075234,ENSG00000100304,ENSG00000183066,ENSG00000128245
HG00179,0.5374664,20.610428,0.18433426,36.720333,3.8024235,1.1009133,2.1367471,4.2683992,38.493317,0.6119785,10.007009,42.71601,0.13291048,2.708881,9.99352,4.6485324,22.294584,12.518206,4.414854,13.029906,78.871086,45.72019,3.0315156,21.706186,0.022322912,15.109133,1.1725007,37.98568,4.879616,69.28084,0.068827875,26.1893,13.549124,8.102784,1.6570635,26.166214,29.279474,38.548805,11.3747,34.540363,0.41821578,62.18504
HG00180,0.368356,17.569983,0.29062462,40.5227,1.3173048,0.74823713,4.3713245,4.5810666,36.46315,0.8181929,4.8990655,41.783623,0.17239209,1.7231059,9.772623,12.27012,27.121265,12.570116,1.8465656,13.185779,57.000725,34.037025,2.4784,22.573233,0.018191826,13.728157,1.8391104,37.93358,3.7174292,61.412045,0.34806225,23.034874,18.229149,7.753241,2.5041173,20.891954,22.206995,23.042868,10.84994,33.80435,0.77154845,69.44495
HG00185,0.47296944,17.393375,0.34994277,38.454285,3.4479737,2.2731574,2.9542592,4.3311114,36.513123,0.2894707,5.898025,45.249546,0.2460388,1.4765128,9.411374,7.601088,28.914728,13.28948,3.414085,11.944438,91.18948,43.10427,2.6023662,23.61495,0.03551505,14.40013,0.76516515,36.941875,1.7399086,62.444874,0.25302878,24.257812,14.642303,4.1837893,2.3220906,27.776016,25.007132,34.179417,9.617736,32.814888,0.5211001,75.665184
HG00187,0.29772404,21.434584,0.043116912,32.35952,2.256836,0.36602375,4.6756086,3.8546395,36.524582,0.6925755,3.9846106,33.42839,0.366077,2.513535,21.48649,3.2504733,22.264877,20.212831,3.1199489,13.055783,63.578285,29.417658,2.786359,69.07795,0.008213889,14.701622,1.022068,63.291027,3.415003,73.247665,0.24167086,17.608122,14.958709,0.4242491,2.1866899,23.37186,23.827309,17.40961,8.747227,35.30165,0.40107998,65.33128
HG00188,0.2706334,28.14149,0.39523807,34.305546,1.8914032,0.8622488,3.0935347,2.8451853,32.519142,0.8091488,5.457025,37.889923,0.4731223,1.8902583,12.905183,6.937393,22.132082,6.9105935,2.833825,12.254672,76.64069,49.95809,2.5336075,41.669525,0.008882721,12.986875,0.09574247,24.0174,0.7162523,65.38068,0.0015918706,28.706577,13.626179,2.2968829,1.4178101,20.84414,18.705736,20.224705,10.586372,24.153023,0.5089082,62.205364
HG00189,0.41146907,15.960251,0.09471134,68.70108,0.64683795,1.7363752,4.633422,3.7389266,38.515602,0.8539288,11.855605,51.06695,0.33857328,2.2649128,4.9082494,7.0885687,26.523102,19.925226,2.6887534,16.78439,79.82764,25.79217,4.230182,23.950731,0.047508314,12.435038,1.7408357,24.992521,4.1682587,59.86758,0.25996077,17.69887,15.920592,3.7288616,2.0351005,23.325008,29.035152,34.158295,9.34618,29.452297,0.49848294,80.24269
HG00231,0.37790003,18.474712,0.0642824,35.318287,7.651973,1.3790392,4.514998,3.2277582,27.374237,0.2516848,6.234765,46.641876,0.18607722,2.003325,9.402537,5.1264944,29.878822,14.670943,1.7949744,13.007276,79.64083,34.207752,3.6909263,32.143967,0.03855181,9.633097,1.0947477,17.693872,2.1244786,58.138866,0.2877518,30.539803,16.692152,7.1285696,2.3683782,23.604961,21.061077,33.74454,7.658346,22.046883,0.3200109,63.83075
HG00232,0.21681985,19.81343,-0.030887015,35.396057,2.7563949,0.54896545,3.216638,4.0572066,27.369778,0.36760542,6.4222097,44.7116,0.3998087,2.2757602,1.946762,4.0852304,31.605358,6.7483068,1.496018,11.209597,67.94725,38.45238,3.1307862,24.104961,0.014513795,11.993182,1.6422024,70.864685,5.4163537,44.73152,0.80198276,22.208096,14.691919,1.0908835,1.5923482,36.08024,25.886673,33.887413,14.06229,32.63788,0.54608315,71.50593
HG00233,-0.007859282,17.431479,0.20332608,38.62824,2.8865166,1.6406474,2.3966942,4.5072594,33.87202,0.6347918,5.9135523,47.41801,0.10205336,1.1540959,5.572013,5.9088564,18.147234,3.801083,1.6714329,11.444134,72.009575,45.6712,2.8274338,44.563572,0.043534745,17.060335,1.1074399,35.413464,0.036399238,57.745655,0.0042792545,37.55856,16.300255,9.180371,1.9287683,16.810562,23.319475,32.19897,9.47113,34.846798,0.48463503,74.86878
HG00235,0.28471103,15.668318,0.07697341,35.143147,3.0785806,1.3148136,4.783026,3.9313753,45.96018,0.59241074,4.5436277,39.7773,0.18935944,1.193578,9.151216,7.094572,25.251791,13.810114,1.5646108,12.611453,75.779465,33.138813,2.3941896,19.221516,0.019074839,12.179977,0.8354312,41.08995,2.228318,62.42916,0.37087697,25.016085,13.177346,1.819635,1.2028956,18.77154,21.502014,34.94661,10.27406,28.202686,0.85399675,66.059525
HG00236,0.5326814,20.482353,0.047826048,38.392452,6.0223327,0.8926158,3.6054885,3.76369,33.114117,0.32932112,6.9399953,58.02363,0.46179995,2.0717463,35.156654,5.4756227,28.411789,14.659249,3.300129,11.828226,73.93379,33.5211,3.0769632,38.561527,0.07892851,12.997343,0.803878,27.300552,3.0988922,64.07858,-0.04332389,22.029821,16.423681,13.984717,1.669595,20.48579,25.91313,31.07663,9.531547,33.886185,0.22925623,69.803535
HG00238,0.25072217,20.981869,0.36755466,44.79012,2.968061,2.0109878,3.063975,3.2042048,63.418488,1.2661939,4.60558,44.945583,0.28265843,2.1900496,29.235416,6.1150246,28.249918,15.313447,2.0527396,13.222346,69.85088,47.73004,2.3405092,24.949312,0.037003618,17.792856,1.7244017,26.54335,3.982941,64.55387,0.04447541,31.335783,15.175042,1.9305369,1.6271083,20.283117,26.233103,42.883404,11.077464,35.815704,0.66647553,70.893814
HG00239,0.58139557,17.900892,0.19216771,34.077152,2.1136131,0.70779234,2.5413985,3.8568966,32.292854,0.39895478,1.5786172,39.21006,0.3386839,2.205543,25.437454,6.7895513,30.636301,12.992829,1.5548748,11.479486,75.000534,37.25348,3.4721217,35.19892,0.03608512,14.860969,1.1981208,28.3215,1.085151,59.689888,0.052451827,28.342178,13.365026,12.216438,1.2198167,22.877453,20.719805,43.03325,8.98814,27.236198,0.45572206,76.48676
HG00240,0.37039104,16.59134,0.38125584,32.288998,3.874515,1.6811458,4.4718566,3.0203338,39.531807,0.42304057,4.389703,46.981,0.67048424,1.8885273,17.602404,8.473752,28.305836,14.927592,0.9565165,12.991729,105.24305,29.82793,3.1934729,26.182589,0.07594739,14.098582,1.3567654,24.120018,3.1371832,70.01376,0.2108096,28.21754,15.322565,3.2792556,2.1113968,25.26155,23.5082,31.07619,10.508649,27.585863,0.7382839,63.343323
HG00242,0.5860248,19.594767,0.3367508,43.288376,4.389014,1.0828537,3.25761,4.352282,35.22173,0.63740945,2.055229,35.56422,0.23501931,1.7908967,10.241127,4.0308313,24.674915,15.361071,2.6655571,10.838268,72.212456,36.960392,3.670727,15.359675,0.048043378,11.827107,1.6527601,28.420267,4.022652,68.189606,0.88225436,23.912931,13.016672,0.8143619,2.132019,18.744318,26.70313,36.156216,9.763855,27.23591,0.34589395,65.43895
HG00243,0.2618708,18.824902,0.011336623,42.905598,2.9168055,0.99957305,3.8735478,3.83282,43.587715,0.794298,4.1484075,40.644947,0.31185645,2.2702634,6.7061386,9.456553,20.37847,15.144389,2.8983645,11.710566,94.922195,36.04993,3.6497219,32.15073,0.042460613,12.250934,1.1916893,29.561293,4.112016,53.045017,0.1323092,32.57327,15.967328,5.9426184,1.6176763,17.782452,22.752337,44.39288,12.568277,31.888632,0.41192997,66.45744
HG00244,0.5343802,20.23134,0.17689332,41.753582,1.59503,1.5175219,2.709532,3.6631074,38.59349,0.7927621,9.781558,46.60264,0.3686256,2.4295878,3.870077,7.3252797,25.666206,12.724458,2.6430902,14.06195,104.84639,43.614338,2.7321022,24.801537,0.026724022,16.385687,1.2312142,30.556955,3.584052,70.71904,0.018770529,34.880276,16.183853,2.6081812,2.0432415,21.863422,29.496433,41.414467,11.981841,40.327747,0.43018734,73.450134
HG00246,0.5187318,20.622494,0.10818767,34.309666,0.7132112,0.75267047,3.4329054,5.9608884,34.986942,0.6860126,2.7647548,43.151726,0.32847932,2.2688591,2.6137104,8.832035,20.047314,8.1989155,4.116679,7.960324,85.31436,61.02998,4.370016,45.502235,0.08953585,11.033647,0.45544398,40.12204,0.40125364,65.54167,0.07093664,15.407035,17.568274,6.202898,2.0887892,20.489449,17.65433,14.031825,10.617453,23.502352,0.49789873,69.28663
HG00247,0.33580187,18.180979,0.16717692,37.028374,2.4237218,2.1347506,5.0791225,2.5798485,45.697544,0.711556,1.2896556,47.07691,0.267845,2.0467083,20.811285,6.830181,29.92309,12.693437,1.776599,13.2733555,69.17864,37.14205,3.1853275,18.081076,0.058763813,13.643826,0.71898055,22.970861,3.494592,68.33168,0.08134682,25.201952,13.449865,11.315696,1.5264382,20.68584,26.791784,52.989807,11.339878,33.710804,0.6553705,72.94932
HG00249,0.1790416,22.317898,-0.0010886871,57.15507,2.362433,1.2727376,3.3158536,4.1447573,39.81107,0.4663264,9.655808,44.9678,0.20948897,2.0882256,15.945874,10.339075,29.241083,15.264275,1.2160947,13.65665,86.22948,41.488995,3.0571582,18.781094,0.02874623,17.464085,0.95022124,22.086637,3.7627602,74.24374,0.017450867,39.462772,13.051987,9.298083,1.7054343,22.645582,26.093431,29.729767,11.939527,31.653643,0.8471215,67.11199
HG00250,0.21837536,22.40381,0.124272086,32.034622,3.8136964,2.092848,3.8542984,3.675555,33.55663,0.5772552,6.3323007,34.64603,0.12605552,1.3755366,5.7298284,5.204958,18.79895,13.8308325,1.385241,12.744436,77.89165,47.911266,3.1726487,14.720234,0.055123817,13.650675,1.0374317,23.241621,3.3851013,59.004486,0.26033372,34.66631,12.190495,0.23171113,1.5937757,21.074865,23.755064,38.771557,9.6612425,28.058702,0.66391265,74.23503
